id	unitType	parentSI	multiplierToSI	description
kilogramsCarbonPerSquareMeter	arealMassDensity	kilogramsPerSquareMeter	1	kg*C/m^2
micrometerPerSecond	speed	meterPerSecond	0.000001	ug/S
dayOfYear	dimensionless	number	1	numeric day of calendar year
variable_unit	dimensionless	number	1	units vary. see variables_time_series.csv
metersPerKilometer	length			m/km
daysPerYear	number			d/yr
day	time	second	86400	d
degreesNorth	number			decimal degrees north (latitude)
degreesEast	number			decimal degrees east (longitude)
millimetersPerDay	length			mm/d
